shape,max_tem,tem_rate,height,length,width,W_top,W_side,W_bottom,tem_initial,tem_out,days,location,y_temp
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,10,10,top,14.12213884
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,10,11,top,13.41792178
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,10,16,top,11.73183165
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,10,21,top,10.89347265
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,10,26,top,10.46767317
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,10,31,top,10.24761547
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,10,37,top,10.12141449
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,10,43,top,10.06048624
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,10,53,top,10.02358602
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,0,0,top,20
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,0,0.1,top,21.3394774
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,0,0.2,top,22.12465888
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,0,0.3,top,22.84725789
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,0,0.4,top,23.53906179
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,0,0.5,top,24.17363665
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,0,0.6,top,24.7311696
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,0,0.7,top,25.20211996
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,0,0.8,top,25.58401474
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,0,0.9,top,25.87870413
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,0,1,top,26.09054209
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,0,1.1,top,26.22522747
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,0,1.2,top,26.28907483
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,0,1.3,top,26.28856206
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,0,1.4,top,26.2300562
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,0,1.5,top,26.1196535
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,0,1.6,top,25.96309238
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,0,1.7,top,25.76566197
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,0,1.8,top,25.53044111
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,0,1.9,top,25.26330826
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,0,2,top,24.96969648
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,0,2.1,top,24.65332314
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,0,2.2,top,24.31743944
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,0,2.3,top,23.96501264
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,0,2.4,top,23.59872776
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,0,2.5,top,23.22111215
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,0,2.6,top,22.83451747
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,0,2.7,top,22.44107008
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,0,2.8,top,22.04265016
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,0,2.9,top,21.64089977
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,0,3,top,21.23724604
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,0,3.5,top,19.22680132
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,0,4,top,17.31764017
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,0,4.5,top,15.55462555
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,0,5,top,13.95223346
